"CustomerID","ProductID_1_sum","ProductID_2_sum","ProductID_3_sum","ProductID_4_sum","ProductID_5_sum","ProductID_6_sum","ProductID_7_sum","ProductID_8_sum","Pattern_0000010_sum","Pattern_0000100_sum","Pattern_0001000_sum","Pattern_0010000_sum","Pattern_0100010_sum","Pattern_1000010_sum","Pattern_1001010_sum","Pattern_1111110_sum","PaymentType_BT_sum","PaymentType_DD_sum","PaymentStatus_Paid_sum","PaymentStatus_Not.Paid_sum","StartDate_rec","RenewalDate_rec","PaymentDate_rec","NbrNewspapers_mean","NbrStart_mean","GrossFormulaPrice_mean","NetFormulaPrice_mean","NetNewspaperPrice_mean","ProductDiscount_mean","FormulaDiscount_mean","TotalDiscount_mean","TotalPrice_mean","TotalCredit_mean","Gender","District","ZIP","StreeID","Age","churn"
"107317",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,10,0,62,77,75,76,17.5,72.2,72.2,0.9500942,0,0,0,72.2,0,"M","5","3920","46536",74,"0"
"107403",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,10,0,62,91,75,76,16,72.2,72.2,0.9500942,0,0,0,72.2,0,NA,"5","3920","46607",61,"0"
"107877",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,140,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,NA,"5","3920","46738",61,"1"
"107896",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,165,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,NA,"5","3920","46836",61,"0"
"107909",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,10,0,62,91,77,76,16,72.2,72.2,0.9500942,0,0,0,72.2,0,NA,"5","3920","142366",61,"0"
"108089",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,171,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"M","5","3920","46686",61,"0"
"108352",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,175,304,15,247.666666666667,247.666666666667,0.813596333333333,0,0,0,247.333333333333,-0.333333333333333,"F","5","3930","47109",84,"0"
"108424",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,243,273,252,304,16.6666666666667,237.666666666667,237.666666666667,0.780687666666667,0,0,0,237.333333333333,-0.333333333333333,NA,"5","3930","47076",61,"0"
"108455",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,293,322,297,312.666666666667,16.6666666666667,243.943333333333,237.666666666667,0.760780333333333,0,6.27666666666667,6.27666666666667,237.333333333333,-0.333333333333333,"M","5","3930","47151",61,"0"
"108673",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,10,0,62,91,63,76,16,72.2,72.2,0.9487955,0,0,0,72.1,-0.1,NA,"5","3930","47068",61,"0"
"108862",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,167,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"M","5","3940","47193",62,"0"
